Mo,Sat Nov 07 01:05:50 0000 2015,All of my friends drive like maniacs.... I'm convinced. Pray for us 
Kerissa Ward ,Sat Nov 07 01:05:51 0000 2015,petescanlon sdshields Makes me want to block him. His DK peddling has always felt creepy.
Ari Fantis,Sat Nov 07 01:05:52 0000 2015,Taniel there was more attention about Romney and HS then there was about Blumenthal's Vietnam lies or Hillary's sniper fire lies
Catherine Soule,Sat Nov 07 01:05:53 0000 2015,no wait ashamed that I know any bloggers at all
Thomas L. Strickland,Sat Nov 07 01:05:53 0000 2015,Hello Friday.  Ramona https://t.co/tEGcuFM8OZ
Priya Krishna,Sat Nov 07 01:05:54 0000 2015,Just trying to stream the OC on this bus ride and the haters are using up all the wifi
andrew rodriguez,Sat Nov 07 01:05:54 0000 2015,A low pitch only hit you under hand me kid
Stephen Stallings,Sat Nov 07 01:05:55 0000 2015,WE WE WE SO EXCITED  Booth Theatre https://t.co/A8GMq4uPwq
Tyler Aldridge,Sat Nov 07 01:05:55 0000 2015,Let's do this DemForum https://t.co/5yolYsiGjC
alley cat,Sat Nov 07 01:05:56 0000 2015,Just a little madness in nyc. 39stepsny nosie actress theater  Union Square Theatre https://t.co/oUk0EvBI1d https://t.co/wGJ5AjVcTi
Robert Salazar,Sat Nov 07 01:05:57 0000 2015,Delta DeltaAssist Why no gate for DL3968.  Come on
Jessica Miracola,Sat Nov 07 01:05:58 0000 2015,Urge the Mobile Zoo to Retire Joe to an Accredited Sanctuary  https://t.co/ManyR83tUY
Michael Covelli,Sat Nov 07 01:05:58 0000 2015,Mint Lemonades in Brooklyn with AllyMercedes. BEMF https://t.co/J1ks80FVAf
Jahneé ,Sat Nov 07 01:05:59 0000 2015,And ya Bushwick bitches Bare pussy holesssss 
Leo Duque,Sat Nov 07 01:05:59 0000 2015,Tonight Kick off the Wknd Proper With the Best Underground House Music Marquee NYC Presents BLONDISH https://t.co/jukBFV1p23
mado,Sat Nov 07 01:06:01 0000 2015,i love being ignored
511 New York,Sat Nov 07 01:06:01 0000 2015,Update: Delays on GeorgeWashingtonBridge EB from New Jersey Side/Upper Level to New York Side/Upper Level https://t.co/h7WgzdjKu8
Benjamin,Sat Nov 07 01:06:02 0000 2015,Happy Birthday Alexandria and Adrianna 
Salsamania Saturdays,Sat Nov 07 01:06:02 0000 2015,Wepa I'm back babycandelafridays tonight 22 west 34st 4th floor from 930 pm to 4am mambo https://t.co/W14kfdKi4n
annabæ,Sat Nov 07 01:06:03 0000 2015,TIMES SQUARE IS ALWAYS SO BREATHTAKING ASDFGHJKL
That Dude Since 1978,Sat Nov 07 01:06:03 0000 2015,Decent seats...lol...lets go Lakers  Barclays Center  brooklynnets for Lakers vs Nets https://t.co/jTib5tmYWy https://t.co/2MavtCGBei
Janeen,Sat Nov 07 01:06:04 0000 2015,JohnnyStep2 VickiAddesso FridayNightFlix SpecialUnit2: https://t.co/wIDx8eBdeZChatroom: https://t.co/4F5f4ju9Bg at 11:15pm EDT
,Sat Nov 07 01:06:04 0000 2015,NaughtyByNatur  you right Bae
Ruben D. Sanchez Jr,Sat Nov 07 01:06:05 0000 2015,MikeKralis Thanks Mike appreciate it :
no,Sat Nov 07 01:06:05 0000 2015,DopeFiction no kev  you ugly
Katrina H,Sat Nov 07 01:06:06 0000 2015,She's a loyal girlfriend however he's such a bad boyfriend 6YearsMovie
Superpages New York,Sat Nov 07 01:06:06 0000 2015,Darling Construction Camden NY 100.00 OFF https://t.co/dnQjlF0gmh Camden Concrete Contractors coupon
Stephen Castro,Sat Nov 07 01:06:06 0000 2015,MattBruenig looks like per capita income went up after/during welfare reform
Liz Mercado,Sat Nov 07 01:06:07 0000 2015,When your BabyGirl is not a baby anymore  https://t.co/9BaNqEZLjS
Bill Morini,Sat Nov 07 01:06:09 0000 2015,StevenDLindsey brithume What proof do you have of that He's a very smart if maybe a little strange man he's got good ideas a thinker.
Jessica,Sat Nov 07 01:06:09 0000 2015,Master Chef Jr. is the cutest thing ever.
Mike Kelly,Sat Nov 07 01:06:09 0000 2015,Just chose a beer based off the very creepy short story the brewery included in the description. Those literary moments though.
alan macdougall,Sat Nov 07 01:06:10 0000 2015,The force is strong in this one. Th... Woodchuck Hard Cider Private Reserve Barrel Select https://t.co/IRz8yQ2LaZ photo
Eugene,Sat Nov 07 01:06:12 0000 2015,Tmrrws the big day
Nadia VaronaSaleem,Sat Nov 07 01:06:12 0000 2015,With YasminMariam  at sweetgreen in Brooklyn NY https://t.co/Y08gBrpbsu
Samantha Escobar,Sat Nov 07 01:06:12 0000 2015,My least favorite thing about myself is probably my undying inexplicable attraction to douchey investment bankers ugh bad facial hair so hot
brian wood,Sat Nov 07 01:06:13 0000 2015,coming. soon.  bwood  colorblock hoody with inset 3M reflective piping and appliqué laser https://t.co/FlwU9qsw0U
Shane,Sat Nov 07 01:06:13 0000 2015,Motionz you suck im better pusc
Dan Swift,Sat Nov 07 01:06:13 0000 2015,Next Sprinklrite sprinklrlife Sprinklr https://t.co/yY9VCUN3Ve
coby munson,Sat Nov 07 01:06:14 0000 2015,Can't wait to the HABS uniforms in action for the winter classic sick
Laura Martín ,Sat Nov 07 01:06:15 0000 2015,Home sweet home NewYork NY NewYorkCity holidays at HellsKitchenNyc in New York NY https://t.co/fL9bJSzTaq https://t.co/7kBW1s1TzC
Tom McKay,Sat Nov 07 01:06:16 0000 2015,iammrbubs like wrestling Trump is best in small doses
LandstarBCOs,Sat Nov 07 01:06:17 0000 2015,We're hiring Read about our latest job opening here: Owner Operator  https://t.co/gvf5bejt6A Nassau NY https://t.co/NDh9uHTYoi
gabby,Sat Nov 07 01:06:17 0000 2015,kaileybrower when you mention everyone wants to 
Hef Baybee ,Sat Nov 07 01:06:18 0000 2015,esquivelnaomi I'm valid nigga man 
Clare Finnegan,Sat Nov 07 01:06:20 0000 2015,My life in a tweet.  https://t.co/3kZrMYk8Y3
AAP Rocky ,Sat Nov 07 01:06:21 0000 2015,KristenLedlow why are you trying to kill taylorswift13 : 
KBilly,Sat Nov 07 01:06:21 0000 2015,girlsinyogapant Upselling...BOOOOO
Scott Wooledge,Sat Nov 07 01:06:21 0000 2015,Brass knuckles in the lagov race Dem JohnBelforLA: GOP's DavidVitter chose prostitutes over patriots.  https://t.co/fe0CsFFEIx
jade,Sat Nov 07 01:06:20 0000 2015,holding on to memoriesand I can't let go
Sarah,Sat Nov 07 01:06:20 0000 2015,Opening night 
Hailey Bedell,Sat Nov 07 01:06:23 0000 2015,you know what would make me so happywhatif someone asked me to Snowland.
Charles Brooks,Sat Nov 07 01:06:24 0000 2015,I just got Burrito grease all over my homework 
sandy michelle,Sat Nov 07 01:06:24 0000 2015,TS Playground Fall Spectacular  EvoLve https://t.co/bctq2oieKL
Jessica Shriver,Sat Nov 07 01:06:24 0000 2015,I truly believe that most girls are fake as hell. This is why I roll with guys. 
Chelsea Bolter,Sat Nov 07 01:06:24 0000 2015,Let's go knicks  Madison Square Garden https://t.co/ehCu7ifJF3
MLuv The Gifted One,Sat Nov 07 01:06:25 0000 2015,Fun stuff video mixing djandrenycmade with flipagramflipagram MichaelJacksoncertifieddope https://t.co/0jFTGjZnRe
Bekatsa,Sat Nov 07 01:06:25 0000 2015,Lol AW wagers
David Cordova,Sat Nov 07 01:06:25 0000 2015,I know I am  https://t.co/Z8EoJC03Xh
Kenny20,Sat Nov 07 01:06:26 0000 2015,Feel like a herb laying in bed rn
BeBalancedWellness,Sat Nov 07 01:06:26 0000 2015,Reiki sessions: 50 for a one hour session. Give yourself the gift of healing https://t.co/p1rdFJaHbx https://t.co/tCnmPXuQyA
BČÇRÚŻÅÑ,Sat Nov 07 01:06:27 0000 2015,Never felt this way before 
Kristin.,Sat Nov 07 01:06:27 0000 2015,Nap time
Mr. Cookerson,Sat Nov 07 01:06:27 0000 2015,Plecty1 JeremyLawrencee eugenehu Em Soul En Why See
Total Traffic NYC,Sat Nov 07 01:06:27 0000 2015,Closed due to accident in Westbury on Wantagh Pkwy SB between Old Country Rd and Hempstead Tpk traffic https://t.co/cLJ9IKJQWV
Joy Reyes,Sat Nov 07 01:06:27 0000 2015,I make waiting look easy lol. I wonder if Batman knows I'm Batman too. Only ninjas knows lol. Tune https://t.co/j6inRsNidO
Joseph Vrabec,Sat Nov 07 01:06:28 0000 2015,mikertr15 temple on now  they need to win also  keeps our SOS CHEDULE high
Alyssa Davis,Sat Nov 07 01:06:28 0000 2015,therich21 partners for what
Evil Twin Brewing,Sat Nov 07 01:06:28 0000 2015,Hey untappd every rating except last 2 are for a different beer. https://t.co/f2UhHSnf9q
Janeen,Sat Nov 07 01:06:29 0000 2015,ScottMcDonald3 ScottShot83 FridayNightFlix SpecialUnit2: https://t.co/wIDx8eBdeZChatroom: https://t.co/4F5f4ju9Bg at 11:15pm EDT
lee aa,Sat Nov 07 01:06:31 0000 2015,You know my style I'll say anything to make you smile
Randall,Sat Nov 07 01:06:33 0000 2015,I'm at Carmine Liberta Memorial Bridge in New Paltz NY https://t.co/UXX7yFP6nl
jen,Sat Nov 07 01:06:34 0000 2015,heyitskatiek I CANT WAIT TO SEE YOU
Fat egan Commie,Sat Nov 07 01:06:34 0000 2015,Lucky to be alive jesus https://t.co/XhIqH0oegb
surf,Sat Nov 07 01:06:35 0000 2015,Been at the studio all day ..
Koala Queen,Sat Nov 07 01:06:35 0000 2015,AlmendraValen swear I never see you
Matthew,Sat Nov 07 01:06:35 0000 2015,RadioBethany  Can I use that for my Profile PicLOL
Michael Covelli,Sat Nov 07 01:06:37 0000 2015,YOU HAD ONE FUCKING JOB https://t.co/sUPE9KcAt9
Phil Blackwell,Sat Nov 07 01:06:37 0000 2015,Big big crowd for ESMSpartans and Whitesboro loud and present too. Class A final to start. Updates to follow..
jade,Sat Nov 07 01:06:37 0000 2015,I wanna get back to San Francisco
Aubrey Farrar,Sat Nov 07 01:06:38 0000 2015,My favourite pic ever If you look close you'll see that I peed a little when I found this place https://t.co/rpDhwKqjyX
Mark Linsangan,Sat Nov 07 01:06:39 0000 2015,Motorola's Droid Turbo 2 is insane We tried dropping it several times and the screen won't shatter  https://t.co/20XTTzdxSD via verge
Joey,Sat Nov 07 01:06:39 0000 2015,imtryingimtryingimtryingimtrying
F o ,Sat Nov 07 01:06:39 0000 2015,Waves 
Gabby,Sat Nov 07 01:06:39 0000 2015,CFWatchParty katniss hunting is my favorite katniss 
Joseph,Sat Nov 07 01:06:39 0000 2015,18.00 smoked bbq ribs at the Vandy come get them https://t.co/KefrrX5V6c
britt,Sat Nov 07 01:06:39 0000 2015,Niykee Heaton is goals af
Nick,Sat Nov 07 01:06:40 0000 2015,Hate girls that always post pics of guys hitting them up or girls trying to make a new friend. Grow up honestly.
Ernie Avino,Sat Nov 07 01:06:41 0000 2015,HappyAnniversary NewYorkCity  StatueofLiberty selfie hottestwifeever  Statue of Liberty https://t.co/aclOuKujgK
November 28 ,Sat Nov 07 01:06:41 0000 2015,Just me amp; my music on this bus 
Natalie,Sat Nov 07 01:06:41 0000 2015,Can't believe I forgot my wallet
Andrew Magrini,Sat Nov 07 01:06:41 0000 2015,AlanahC I wouldn't fault you it looked surprisingly good
Glendy,Sat Nov 07 01:06:42 0000 2015,Lmaoooooo to
Diαnα,Sat Nov 07 01:06:42 0000 2015,when you're paying with your card and start day dreaming while pumping gas neverfails
Doug Jossem,Sat Nov 07 01:06:42 0000 2015,mitchscharf AMCTheatres strongandfitmom bet there are one or two places I can think of.
 micaela ,Sat Nov 07 01:06:42 0000 2015,He gets so excited https://t.co/gRgOqSPcC1
NO MAYO,Sat Nov 07 01:06:44 0000 2015,We fuck with plaid flannels. Might make some.
Artlee Cedano,Sat Nov 07 01:06:45 0000 2015,TheLostGrad facts I'm on the same boat. I need to catch more miles in ASAP.
Nicole Juliana,Sat Nov 07 01:06:45 0000 2015,YoungBossRon fouseyTUBE nooo : i wish i did but he went MIA out of nowhere
TOUGE SANYON,Sat Nov 07 01:06:46 0000 2015,Scratch my shit I come out swinging  Seeda Thai Restaurant https://t.co/eAGu1TLRg3
LS,Sat Nov 07 01:06:47 0000 2015,ChrisCuomo hungry to believe everything bad about someone they don't know.
EmpireLifeStyle NYC,Sat Nov 07 01:06:47 0000 2015,Saturday November 7thEmpireLifeStyle amp; LifeStyleSaturdaysContinues  libertytheater with https://t.co/21MoR69XA5
fuck off,Sat Nov 07 01:06:49 0000 2015,fuck what color should i do my nails idk
Jennifer,Sat Nov 07 01:06:49 0000 2015,ciroc boyzzz
Tom Doody,Sat Nov 07 01:06:49 0000 2015,kill but no insult woman bradyordie Greg Hardy like a piece of trash https://t.co/oFUWDQIVZt https://t.co/wibLvrMBdk
nick foti,Sat Nov 07 01:06:49 0000 2015,there's the next president MartinOMalley https://t.co/58PYGYrc5w
Allen V. Win,Sat Nov 07 01:06:50 0000 2015,Not even to the into of MasterOfNone episode two and I'm crying and want to call my immigrant parents. Because I'm an asshole.
Fools Gold NYC,Sat Nov 07 01:06:50 0000 2015,It's Friday night and it's ON Kitchen and bar open till 4am theplacetobeer giddyup EastVillage https://t.co/eAucWl4KGC
Jahneé ,Sat Nov 07 01:06:50 0000 2015,Ive been hanging with too many Jamaicans lately 
Nyamal Pal,Sat Nov 07 01:06:51 0000 2015,The smell of rotting leaves is so disrespectful to my nose
LouRoc,Sat Nov 07 01:06:51 0000 2015,We in here BrooklynNets Lakers https://t.co/XWU6KvBVhz
Kierstin Cormier,Sat Nov 07 01:06:52 0000 2015,Are you gonna save that dessert for me 
Maddi ,Sat Nov 07 01:06:52 0000 2015, you got a snapchat from JJ. And how do I know that Because I'm logged in. Ok Lo
surf,Sat Nov 07 01:06:53 0000 2015,Netflix amp; chill the dolie edition when I get home...
jade,Sat Nov 07 01:06:53 0000 2015,Drove into infinity
SeansDogs,Sat Nov 07 01:06:55 0000 2015,Happy pup  georgiagirl leafing simplejoys  Central Park https://t.co/i8xOT3s0UB
Ari Fantis,Sat Nov 07 01:06:56 0000 2015,AngieKadesky Josephriskgmt DanRiehl this is same as NYT BS story that McCain had an affair in 2007
O'Israel,Sat Nov 07 01:06:57 0000 2015,Q by Aston Martin
Caity Kauffman,Sat Nov 07 01:06:58 0000 2015,wyshynski AnselElgort and the only options on the checkboxes will be yes or hell yes
Richard Long,Sat Nov 07 01:06:58 0000 2015,I fucking hate Dominicans/Puerto Ricans with their faggot ass baseball who plays baseball on turf
Bay Brown,Sat Nov 07 01:06:59 0000 2015,If you weren't already proBernie here what his big bro' Larry Sanders has to say. Brought tears. https://t.co/BOP8DljaDE
Jen,Sat Nov 07 01:06:59 0000 2015,hungryyyyyy 
MJR,Sat Nov 07 01:06:59 0000 2015,Bitch don't kill my vibe  I been on my vibe for 20 yrs straight
CEE,Sat Nov 07 01:07:00 0000 2015,Keep it 100 till I'm 6 feet under
Alexandra Pauline,Sat Nov 07 01:07:00 0000 2015,casflizzy32 lol MINUS the seltzer clearly it's been to long. 
KATELYN,Sat Nov 07 01:07:02 0000 2015,ginnygreenwood dude that sucks
JuliánVoguingFitness,Sat Nov 07 01:07:03 0000 2015,Today's warmup before  https://t.co/djzYywJ9lZ class .Classes  Fridays https://t.co/NoSvXwwI4w
jen,Sat Nov 07 01:07:03 0000 2015,I could literally go to bed right now
sara,Sat Nov 07 01:07:03 0000 2015,v excited for xmas
ron weaslsy,Sat Nov 07 01:07:04 0000 2015,All I want is for you to be happy and I hope you wish the same..
Anthony Guidarelli,Sat Nov 07 01:07:05 0000 2015,Jethro Tull Rock Opera This is happening : rock music nyc historic  Kings Theatre https://t.co/QTw3el8leJ
Jessica,Sat Nov 07 01:07:05 0000 2015,carolon ANNIEMOHO  LinzLovesEugene is an Olivia cosplayer. She might know some thangs
Porchè,Sat Nov 07 01:07:06 0000 2015,NewYorkCity Subway NYC  Times Square New York City https://t.co/3Mi3nQQgRb
lauren,Sat Nov 07 01:07:07 0000 2015,Shits bro tastic
t,Sat Nov 07 01:07:07 0000 2015,this song saved my life https://t.co/hwX2br8IUK
Alex Bresler,Sat Nov 07 01:07:07 0000 2015,YvesDarbouze bambambigganose was told Joe was gonna start the season off the bench he should Ellington should be fine in spurts too
phil,Sat Nov 07 01:07:07 0000 2015,I'm at Park79Uws in New York NY https://t.co/wINgzdk4nX
Katrina H,Sat Nov 07 01:07:08 0000 2015,He treats her crap when he got out if the jail It's his fault anyway so why blame her  6YearsMovie
no,Sat Nov 07 01:07:09 0000 2015,ryanbowe1 Lmaoo shot out
Joshua Albarran,Sat Nov 07 01:07:09 0000 2015,Look back at CBSN's 1stfull year w/ new original reports CBSNLive jeffglor margbrennan ChrisWragge CBSNews https://t.co/UwSzDO229m
Koala Queen,Sat Nov 07 01:07:10 0000 2015,carlos and I are stranded in the rain
Emma Leeds,Sat Nov 07 01:07:10 0000 2015,Oh yes. jethrotull rockopera  Kings Theatre  kingsbklyn for Jethro Tull  The Rock... https://t.co/mVo47wfPTn https://t.co/67lu3GfnAv
Yanio Solorzano,Sat Nov 07 01:07:11 0000 2015,My baby's senior night  Memorial High School West New York New Jersey https://t.co/il4i0oWNPv
Janeen,Sat Nov 07 01:07:11 0000 2015,cefilby SesameSquirrel FridayNightFlix SpecialUnit2: https://t.co/wIDx8eBdeZChatroom: https://t.co/4F5f4ju9Bg at 11:15pm EDT
ICONIC MM,Sat Nov 07 01:07:11 0000 2015,I'm at Trader Joe's in New York NY https://t.co/O8WDyLBcb5
Leo.,Sat Nov 07 01:07:13 0000 2015,CoIombian oh I'm late
William Coles,Sat Nov 07 01:07:13 0000 2015,I really hate bad customer service 
DJ ONONYMOUS,Sat Nov 07 01:07:16 0000 2015,Tdot export DJQUEENOFSPADES running the trap at this OfficialCoreDJs artist Showcase coreretreat2015
Cheryl LuLien Tan,Sat Nov 07 01:07:16 0000 2015,Bulgarian novelist Alek Popov in the house Center4Fiction NewLitEurope https://t.co/9D991nbLO2
ReginaldAnderson,Sat Nov 07 01:07:17 0000 2015,CLAUWBAT RRRRR Igniting Your Body HEAT even more SUGAR kissing your neck talking dirty in your ears while feeling your Licks on my Chest :3
Peter Cuce,Sat Nov 07 01:07:17 0000 2015,New goal. Conquer Sunset Park. Good fish balls amp; wontons.  Hometown Cuisine https://t.co/KbU1aRArBC https://t.co/13JJa3ZZZF
Jahneé ,Sat Nov 07 01:07:19 0000 2015,All my pop try to do on the phone is speak that shit
Nat,Sat Nov 07 01:07:19 0000 2015,Whole fam playing connect the dots https://t.co/UNalv9o8O1
Samantha Escobar,Sat Nov 07 01:07:19 0000 2015,benharnett I SAID I HATED IT OKAY :
WaKeen,Sat Nov 07 01:07:20 0000 2015,ecoombsj I know shit is mad funny and the what that makes it better is how slow paced it is lol
Scott Wooledge,Sat Nov 07 01:07:20 0000 2015,Brass knuckles in the lagov race Dem JohnBelforLA: GOP's DavidVitter chose prostitutes over patriots. https://t.co/hhyofn6Nku
Monay Perry,Sat Nov 07 01:07:21 0000 2015,DEsInfiniteLuv illamiina your right but who hasnt lied to someone on this shownobody's perfectdamon has acted like an ass plenty of
Glendy,Sat Nov 07 01:07:22 0000 2015,Wild shit always happenes to me i sweaaar.
no,Sat Nov 07 01:07:22 0000 2015,DopeFiction hey I love you tho
jordan composition,Sat Nov 07 01:07:22 0000 2015,Filming all day 2mar HYPEboy
Jill,Sat Nov 07 01:07:22 0000 2015,If Patty is alive amp; with Ian UR welcome lol My tweet from 1 1/2 years ago YR YRInsider StaceHaiduk https://t.co/8a8DY7S4tD
Steven Beck,Sat Nov 07 01:07:24 0000 2015,SPECTRE time.
Sara Bee,Sat Nov 07 01:07:24 0000 2015,jazzdan good call
Koala Queen,Sat Nov 07 01:07:24 0000 2015,gonna kms
Eliza,Sat Nov 07 01:07:24 0000 2015,When Flamio says he'd put the grades in and never does 
sara,Sat Nov 07 01:07:25 0000 2015,idc ik its 2 months away im just excited ok
Jen,Sat Nov 07 01:07:25 0000 2015,bj's run tomorrow gotta see my big brother 
Sergeant Copper Lynx,Sat Nov 07 01:07:24 0000 2015,Wet Hot American Summer https://t.co/7rrqxnZYJN
Dr Steveilo Economos,Sat Nov 07 01:07:26 0000 2015,stephgiiatas you will there is no question
clyde,Sat Nov 07 01:07:27 0000 2015,Ungrateful people should burn in hell 
NO MAYO,Sat Nov 07 01:07:28 0000 2015,Timbs are making a comeback. Might as well make some camos too. We'll see.
 Javin James,Sat Nov 07 01:07:28 0000 2015,I'm all about these weddings like this 2 african sides tho I'm not part african lol spinningaroundononeleg  needed an emoji 4 that
Monay Perry,Sat Nov 07 01:07:29 0000 2015,DEsInfiniteLuv illamiina times
Stephen Castro,Sat Nov 07 01:07:30 0000 2015,MattBruenig what did Norway do between 80 and 86
Aldub Global NewYork,Sat Nov 07 01:07:31 0000 2015,Judge people by what you find them not to be by others say about them find out for yourself ALDUBPerformsTogether
papper mcpappington,Sat Nov 07 01:07:31 0000 2015,Expect me to suddenly use my Snapchat again cause we are babysitting some doggieeesss
Taylor,Sat Nov 07 01:07:31 0000 2015,CourtCardone I'm stupid and didn't save your number hahahahaha text me
Doug Jossem,Sat Nov 07 01:07:32 0000 2015,wsakdinan gibsonguitar is that you Kick a
Angela Bucalo,Sat Nov 07 01:07:34 0000 2015,ZRandall17 I'm crying
Maria O.,Sat Nov 07 01:07:34 0000 2015,DonnieWahlberg can I get a follow before all the cuffing BlueBloods madness ensues FF followmeDonnie CuffMeDannyFollowMeDonnie 
John Vallarelli,Sat Nov 07 01:07:37 0000 2015,Janes Addiction were so ahead of their time it's like insane
αмуαиgєℓια,Sat Nov 07 01:07:37 0000 2015,Gonna be a lit night with the homies 
,Sat Nov 07 01:07:39 0000 2015,CJCSwizzy I don't like those
Rebe Espinosa,Sat Nov 07 01:07:40 0000 2015,boobookitty sj30 thirtyflirtyandthriving yaaasssgirl30 voyvoy30 happy birthday sosavoy07  https://t.co/IZVRyDLpsX
Alix Cross,Sat Nov 07 01:07:41 0000 2015,Seeing labyrinth theater company's Empanada Loca directed and written by aaronmark starring https://t.co/zAgDzefLqg
Janeen,Sat Nov 07 01:07:41 0000 2015,Open Invite FridayNightFlix Join us for SpecialUnit2: https://t.co/wIDx8eBdeZChatroom: https://t.co/4F5f4ju9Bg at 11:15pm EDT
511NY  Long Island,Sat Nov 07 01:07:42 0000 2015,Incident on WantaghStateParkway SB at Exit W2E  Old Country Road https://t.co/KJDtQOsLpr
511 New York,Sat Nov 07 01:07:42 0000 2015,Incident on WantaghStateParkway SB at Exit W2E  Old Country Road https://t.co/rBau36Rh8J
Alexis Rosa Morales,Sat Nov 07 01:07:43 0000 2015,Ugh that 3rd part of GirlMeetsTexas man it puts me in to tears 
Ian Carfora,Sat Nov 07 01:07:43 0000 2015,Gonna be bored tonight
Trophyguy,Sat Nov 07 01:07:44 0000 2015,Another quick trip taurisjn
nelly,Sat Nov 07 01:07:44 0000 2015,to do something tn or not ..
Bill Morini,Sat Nov 07 01:07:45 0000 2015,StevenDLindsey brithume Yes that was a leap.
Michael Muleta,Sat Nov 07 01:07:46 0000 2015,John Lennon's last breath taken here at the Dakota Building entrance where he was shot and murdered https://t.co/HZRvh3dgTN
Jane B,Sat Nov 07 01:07:46 0000 2015,Clint do you know if eSight works for hemianopia Hope things are going well w Google glass study. https://t.co/mPoCrCvnu3
Sabrina Majeed,Sat Nov 07 01:07:48 0000 2015,chrisrushing haha oops So twothousandandlate
Jared Schnabl,Sat Nov 07 01:07:49 0000 2015,GranmaBunny SSFCRABBITOHS Lets not break up the band  If it ain't broke don't fix it
Samantha Durand,Sat Nov 07 01:07:49 0000 2015,NYC af https://t.co/OzrxXs717S
Lisa Fiordiliso,Sat Nov 07 01:07:51 0000 2015,Literally had the best day with my man
Wendis,Sat Nov 07 01:07:51 0000 2015,Wish my dad was closer to me 
Mz Skittlez ,Sat Nov 07 01:07:53 0000 2015,StyledByKHilton text me ASAP
Jahneé ,Sat Nov 07 01:07:53 0000 2015,And believe it or not i understand that language better than Spanish .
Alex Bresler,Sat Nov 07 01:07:53 0000 2015,My Nets have pieces to compete look at Portland its about optimization our PGs should take no more than 12 shots a game to do that
elías,Sat Nov 07 01:07:53 0000 2015,dad just told me to hack nbc amp; prevent snl airing the trump episode tmw
Ari Fantis,Sat Nov 07 01:07:54 0000 2015,Taniel media paid more attention to NYT lie that McCain had affair then Hillary's lie about Bosnia.
jade,Sat Nov 07 01:07:54 0000 2015,I wanna get back to where we started to the summer night
RUBIN SINGER,Sat Nov 07 01:07:54 0000 2015,LisaRinna wearing RUBINSINGER for the RHOBH The Real Housewives of BeverlyHills ad campaign Bravotv LisaRinna https://t.co/tTuJwgnf2O
Bekatsa,Sat Nov 07 01:07:55 0000 2015,Splixay aBeZy OTFrenzy Embarrass me like that again and your off
Michael T. Rose,Sat Nov 07 01:07:56 0000 2015,GlennF I cannot even. Sure the Pyramids were a long time ago but not 2007.
Jeremiah Britton,Sat Nov 07 01:07:56 0000 2015,willbryantplz you Nike tech fleecin' bro No wait... Yeezy season 1
Eeezzzy,Sat Nov 07 01:07:57 0000 2015,Love talking politics /life with my family these are the moments that have me always thinking of transferring back north Miami is Ignorant
stash lomain,Sat Nov 07 01:07:57 0000 2015,Nets vs Lakers  Barclay VIP Suites https://t.co/JJUBQlImni
Amanda Morrell,Sat Nov 07 01:07:58 0000 2015,Bite your knee bite bite your knee tleamilli
Marc A Rodriguez,Sat Nov 07 01:07:58 0000 2015,Achievement Unlocked TEDxSBU  Stony Brook University https://t.co/xsCmMsto3M
Leora,Sat Nov 07 01:08:01 0000 2015,I fucking love drunk history
Jane Antonia Cornish,Sat Nov 07 01:08:01 0000 2015,Opening reception ZengFanzhi Paintings Drawings and Two Sculptures at gagosianla art https://t.co/MwnUGhKzST
